File,Jaccard Index,GT True,GT False,Pred True,Pred False,Accuracy,Precision,Recall,F1 Score
1017_sci-news.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1028_redorbit.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1034_aol.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1083_highgearmedia.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1164_acbj.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1205_opensecrets.org.json,0.75,6,4,8,2,0.8,0.75,1.0,0.8571428571428571
1206_dcccd.edu.json,0.75,7,3,7,3,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
1221_gwdocs.com.json,0.4,4,6,10,0,0.4,0.4,1.0,0.5714285714285715
1224_austincc.edu.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1261_zacks.com.json,0.6,6,4,10,0,0.6,0.6,1.0,0.7499999999999999
1264_citizen.org.json,0.7,7,3,10,0,0.7,0.7,1.0,0.8235294117647058
1300_bankofamerica.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1360_thehill.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1361_yahoo.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
1419_miaminewtimes.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1470_steampowered.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
1498_ticketmaster.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
1539_geocaching.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1545_taylorswift.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1582_msn.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
1610_post-gazette.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1637_dailyillini.com.json,0.625,6,4,7,3,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692
1703_sports-reference.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1708_foxsports.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1713_latinpost.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
175_mlb.mlb.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
207_reference.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
228_gawker.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
320_timeinc.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
325_ocregister.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
32_voxmedia.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
331_tgifridays.com.json,0.7,7,3,10,0,0.7,0.7,1.0,0.8235294117647058
481_fredericknewspost.com.json,0.7777777777777778,7,3,9,1,0.8,0.7777777777777778,1.0,0.8750000000000001
503_buffalowildwings.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
523_usa.gov.json,0.8571428571428571,6,4,7,3,0.9,0.8571428571428571,1.0,0.923076923076923
571_abita.com.json,0.75,7,3,7,3,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
581_coffeereview.com.json,0.7142857142857143,5,5,7,3,0.8,0.7142857142857143,1.0,0.8333333333333333
584_communitycoffee.com.json,0.625,6,4,7,3,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692
591_google.com.json,0.9,9,1,10,0,0.9,0.9,1.0,0.9473684210526316
