File,Jaccard Index,GT True,GT False,Pred True,Pred False,Accuracy,Precision,Recall,F1 Score
1017_sci-news.com.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
1028_redorbit.com.json,1.0,8,3,8,3,1.0,1.0,1.0,1.0
1034_aol.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
1050_honda.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
1070_wnep.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1083_highgearmedia.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
1089_freep.com.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
1164_acbj.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1205_opensecrets.org.json,0.625,6,4,7,3,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692
1206_dcccd.edu.json,0.8571428571428571,7,3,6,4,0.9,1.0,0.8571428571428571,0.923076923076923
1221_gwdocs.com.json,0.375,4,6,7,3,0.5,0.42857142857142855,0.75,0.5454545454545454
1224_austincc.edu.json,0.7777777777777778,8,2,8,2,0.8,0.875,0.875,0.875
1252_cincymuseum.org.json,0.7,7,4,10,1,0.7272727272727273,0.7,1.0,0.8235294117647058
1259_fool.com.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
1261_zacks.com.json,0.75,6,4,8,2,0.8,0.75,1.0,0.8571428571428571
1264_citizen.org.json,0.75,7,3,7,3,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571
1300_bankofamerica.com.json,0.7272727272727273,8,3,11,0,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578948
1306_chasepaymentech.com.json,0.8,9,2,9,2,0.8181818181818182,0.8888888888888888,0.8888888888888888,0.8888888888888888
135_instagram.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1360_thehill.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1361_yahoo.com.json,0.8888888888888888,9,1,8,2,0.9,1.0,0.8888888888888888,0.9411764705882353
1419_miaminewtimes.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
144_style.com.json,0.8,8,2,10,0,0.8,0.8,1.0,0.888888888888889
1468_rockstargames.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1470_steampowered.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1498_ticketmaster.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1539_geocaching.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
1545_taylorswift.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1582_msn.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
1610_post-gazette.com.json,0.7777777777777778,8,3,8,3,0.8181818181818182,0.875,0.875,0.875
1636_sidearmsports.com.json,0.9,10,0,9,1,0.9,1.0,0.9,0.9473684210526316
1637_dailyillini.com.json,0.75,6,4,8,2,0.8,0.75,1.0,0.8571428571428571
164_adweek.com.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
1666_wsmv.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
1683_dailynews.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
1708_foxsports.com.json,0.8,10,0,8,2,0.8,1.0,0.8,0.888888888888889
1713_latinpost.com.json,0.8181818181818182,9,2,11,0,0.8181818181818182,0.8181818181818182,1.0,0.9
175_mlb.mlb.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
186_abcnews.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
202_foodallergy.org.json,0.8,8,3,10,1,0.8181818181818182,0.8,1.0,0.888888888888889
207_reference.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
21_imdb.com.json,0.8,9,2,9,2,0.8181818181818182,0.8888888888888888,0.8888888888888888,0.8888888888888888
228_gawker.com.json,0.6666666666666666,8,2,7,3,0.7,0.8571428571428571,0.75,0.7999999999999999
303_reddit.com.json,0.9090909090909091,10,1,11,0,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
320_timeinc.com.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
325_ocregister.com.json,0.8,8,3,10,1,0.8181818181818182,0.8,1.0,0.888888888888889
32_voxmedia.com.json,1.0,9,1,9,1,1.0,1.0,1.0,1.0
331_tgifridays.com.json,0.7,7,4,10,1,0.7272727272727273,0.7,1.0,0.8235294117647058
33_nbcuniversal.com.json,1.0,10,0,10,0,1.0,1.0,1.0,1.0
359_vikings.com.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
394_newsbusters.org.json,0.9,9,2,10,1,0.9090909090909091,0.9,1.0,0.9473684210526316
414_washingtonian.com.json,0.8888888888888888,8,2,9,1,0.9,0.8888888888888888,1.0,0.9411764705882353
